sale_id,sale_date,product_id,channel_id,quantity,revenue,cost
1,2026-02-01,1,2,1,78000,45000
2,2026-02-01,3,2,2,230000,136000
3,2026-02-01,15,2,1,14000,7500
4,2026-02-01,1,1,1,78000,45000
5,2026-02-02,10,1,1,310000,210000
6,2026-02-02,11,2,1,31000,18000
7,2026-02-02,8,2,2,102000,64000
8,2026-02-02,1,2,1,78000,45000
9,2026-02-02,7,1,1,82000,55000
10,2026-02-02,13,1,1,220000,145000
11,2026-02-02,2,1,1,41000,22000
12,2026-02-02,5,3,2,178000,104000
13,2026-02-02,9,1,3,189000,123000
14,2026-02-02,2,2,2,82000,44000
15,2026-02-02,10,3,1,310000,210000
16,2026-02-03,12,1,2,88000,50000
17,2026-02-03,13,1,1,220000,145000
18,2026-02-03,4,3,1,29000,15000
19,2026-02-03,8,2,1,51000,32000
20,2026-02-03,6,1,2,134000,76000
21,2026-02-03,12,3,2,88000,50000
22,2026-02-04,11,1,2,62000,36000
23,2026-02-04,3,1,1,115000,68000
24,2026-02-04,15,2,1,14000,7500
25,2026-02-04,11,1,2,62000,36000
26,2026-02-04,1,1,1,78000,45000
27,2026-02-04,6,1,1,67000,38000
28,2026-02-04,15,3,3,42000,22500
29,2026-02-04,6,1,1,67000,38000
30,2026-02-04,15,3,1,14000,7500
31,2026-02-04,5,1,2,178000,104000
32,2026-02-04,9,1,1,63000,41000
33,2026-02-04,15,2,1,14000,7500
34,2026-02-05,9,1,2,126000,82000
35,2026-02-05,14,1,2,34000,18000
36,2026-02-05,13,2,1,220000,145000
37,2026-02-05,7,1,5,410000,275000
38,2026-02-05,9,1,1,63000,41000
39,2026-02-06,11,2,2,62000,36000
40,2026-02-06,9,2,2,126000,82000
41,2026-02-06,6,1,1,67000,38000
42,2026-02-07,1,3,3,234000,135000
43,2026-02-07,5,3,2,178000,104000
44,2026-02-07,9,3,3,189000,123000
45,2026-02-07,5,3,1,89000,52000
46,2026-02-07,4,1,2,58000,30000
47,2026-02-07,9,3,3,189000,123000
48,2026-02-07,15,1,1,14000,7500
49,2026-02-07,1,1,1,78000,45000
50,2026-02-07,14,3,1,17000,9000
51,2026-02-07,4,3,3,87000,45000
52,2026-02-08,12,1,1,44000,25000
53,2026-02-08,13,2,1,220000,145000
54,2026-02-08,11,1,1,31000,18000
55,2026-02-08,5,2,2,178000,104000
56,2026-02-09,15,2,2,28000,15000
57,2026-02-09,4,2,1,29000,15000
58,2026-02-09,11,2,1,31000,18000
59,2026-02-09,9,1,1,63000,41000
60,2026-02-09,2,1,1,41000,22000
61,2026-02-09,4,2,1,29000,15000
62,2026-02-10,4,1,1,29000,15000
63,2026-02-10,6,1,1,67000,38000
64,2026-02-10,11,1,1,31000,18000
65,2026-02-11,10,1,2,620000,420000
66,2026-02-11,13,1,1,220000,145000
67,2026-02-11,11,1,1,31000,18000
68,2026-02-11,8,3,1,51000,32000
69,2026-02-11,11,3,1,31000,18000
70,2026-02-11,7,2,2,164000,110000
71,2026-02-11,2,1,1,41000,22000
72,2026-02-11,8,1,1,51000,32000
73,2026-02-11,8,1,3,153000,96000
